run_id,ld,s,tp,rmse,train_data,contrastive,train_phase,error_zan24,error
1_1,32,24000,0.0,0.0061736303192081,True,False,True,0.051008,0.0016454030578738053
1_1,32,24000,0.01,0.0061661372871185,True,False,True,0.050846,0.0016439261249618436
1_1,32,24000,0.02,0.0062302948899566,True,False,True,0.052797,0.0016520696304454117
1_1,32,24000,0.03,0.0061797404489749,True,False,True,0.050148,0.0016412880926588895
1_1,32,24000,0.04,0.0061985026450383,True,False,True,0.04994,0.0016395769979476269
1_1,32,24000,0.05,0.0062027581427085,True,False,True,0.04968,0.0016350505229209935
1_1,32,24000,0.06,0.0062522792862971,True,False,True,0.049482,0.0016334367879379849
1_1,32,24000,0.07,0.0062834730900827,True,False,True,0.049657,0.0016278778632533
1_1,32,24000,0.08,0.0063710581308073,True,False,True,0.049895,0.0016276457695962336
1_1,32,24000,0.09,0.0064357998821098,True,False,True,0.050421,0.001621603162481853
1_1,32,24000,0.1,0.0065969281266342,True,False,True,0.051805,0.001629435507192604
1_1,32,24000,0.11,0.0070484860133813,True,False,True,0.054238,0.0016960038180315307
1_1,32,24000,0.12,0.0077310594533362,True,False,True,0.057537,0.0018129239252042341
1_1,32,24000,0.13,0.007672317042237,True,False,True,0.062715,0.0017699942514241818
1_1,32,24000,0.14,0.0076701484987319,True,False,True,0.06484,0.0017465097294409237
1_1,32,24000,0.15,0.0087478335055533,True,False,True,0.064643,0.0019576524332001956
1_1,32,24000,0.16,0.0082412845679362,True,False,True,0.065063,0.0018567087297039326
1_1,32,24000,0.17,0.0075721861038401,True,False,True,0.066254,0.0017236487332597285
1_1,32,24000,0.18,0.0070700541486535,True,False,True,0.066368,0.0016369502863077374
1_1,32,24000,0.19,0.0070431361681435,True,False,True,0.067269,0.001653384541132654
1_1,32,24000,0.2,0.0070863243969662,True,False,True,0.068122,0.0016902921921916273
1_1,32,24000,0.21,0.0072034508376744,True,False,True,0.068525,0.0017538778222362433
1_1,32,24000,0.22,0.0073990028919697,True,False,True,0.068792,0.0018441837004953992
1_1,32,24000,0.23,0.0079133441411958,True,False,True,0.069272,0.002015102291988065
1_1,32,24000,0.24,0.0083117710421112,True,False,True,0.07033,0.0021551766267777577
1_1,32,24000,0.25,0.0092739665706129,True,False,True,0.076447,0.0024382048057318964
1_1,32,24000,0.26,0.010497888072052,True,False,True,0.08041,0.0028117676008190145
1_1,32,24000,0.27,0.013029432432128,True,False,True,0.080816,0.0035595979582679974
1_1,32,24000,0.28,0.0136084811132707,True,False,True,0.083482,0.003785621043350499
1_1,32,24000,0.29,0.0134099381261191,True,False,True,0.084816,0.0037866982674506547
1_1,32,24000,0.3,0.0159865485509519,True,False,True,0.090107,0.004560600213075713
1_1,32,24000,0.31,0.0142568910145427,True,False,True,0.095451,0.004119214162237561
1_1,32,24000,0.32,0.0138008257366578,True,False,True,0.096641,0.004047319091260345
1_1,32,24000,0.33,0.0127791901124605,True,False,True,0.100824,0.0038062601293677146
1_1,32,24000,0.34,0.0057184705010948,True,False,True,0.09115,0.0017264957540803364
1_1,32,24000,0.35,0.0070542894567245,True,False,True,0.082856,0.0021199267046902517
1_1,32,24000,0.36,0.0071203309781068,True,False,True,0.086178,0.0021533232544691558
1_1,32,24000,0.37,0.0068617486510489,True,False,True,0.081111,0.0020781906967182644
1_1,32,24000,0.38,0.0062690375311832,True,False,True,0.0803,0.0019099436745027
1_1,32,24000,0.39,0.0059023404325138,True,False,True,0.081256,0.001800076758450615
1_1,32,24000,0.4,0.0057334255544589,True,False,True,0.087704,0.0017315747985524104
1_1,32,24000,0.41,0.005675541171933,True,False,True,0.105343,0.0016995087083789572
1_1,32,24000,0.42,0.0056869686245934,True,False,True,0.096102,0.0016769724491146826
1_1,32,24000,0.43,0.0057601664960093,True,False,True,0.092997,0.0016546378219420646
1_1,32,24000,0.44,0.0058884804507455,True,False,True,0.103273,0.0016296420578067305
1_1,32,24000,0.45,0.0060634469295879,True,False,True,0.08859,0.001609952281216086
1_1,32,24000,0.46,0.0063003071793775,True,False,True,0.078509,0.0015958369611347144
1_1,32,24000,0.47,0.0063939963065169,True,False,True,0.071454,0.0015789629553751962
1_1,32,24000,0.48,0.0061440880895699,True,False,True,0.069971,0.001581718870996292
1_1,32,24000,0.49,0.0057809324463816,True,False,True,0.071316,0.0016091048301548193
1_1,32,24000,0.5,0.0055337100284298,True,False,True,0.078705,0.001737819259630536
